timestamp,T1_suction,P1_suction,T2_discharge,P2_discharge,T_ambient,leak_status
30-09-2025 18:30,8.4,4.95,69.1,16.33,24.52,0
30-09-2025 18:35,7.95,4.91,68.9,17.05,25.28,0
30-09-2025 18:40,8.26,4.81,67.99,16.43,24.11,0
30-09-2025 18:45,8.25,4.84,68.39,16.86,25,0
30-09-2025 18:50,8.49,4.87,70.16,17.28,25.71,0
30-09-2025 18:55,8.68,4.85,68.94,16.88,24.95,0
30-09-2025 19:00,8.29,4.96,69.58,17.08,25.37,0
30-09-2025 19:05,8.15,4.8,68.49,17.34,25.51,0
30-09-2025 19:10,7.74,4.76,68.53,16.68,24.58,0
30-09-2025 19:15,7.99,4.85,68.85,16.76,24.76,0
30-09-2025 19:20,8.22,4.95,69.51,17.13,25.73,0
30-09-2025 19:25,8.69,4.87,71.25,17.27,25.79,0
30-09-2025 19:30,8.76,4.87,68.93,16.59,24.85,0
30-09-2025 19:35,7.93,4.64,70.59,16.69,25.56,0
30-09-2025 19:40,8.55,4.9,70.56,16.93,25.34,0
30-09-2025 19:45,8.14,4.83,69.26,16.88,25.44,0
30-09-2025 19:50,8.51,4.91,70.54,17.02,26.13,0
30-09-2025 19:55,8.05,4.89,71.41,16.73,25.27,0
30-09-2025 20:00,8.17,4.84,70.57,17.25,26.07,0
30-09-2025 20:05,8.2,4.92,70.26,17.2,25.81,0
30-09-2025 20:10,7.78,4.82,70.04,17.46,25.37,0
30-09-2025 20:15,9.21,4.99,71.42,17.28,26.64,0
30-09-2025 20:20,7.62,4.89,69.05,16.88,24.69,0
30-09-2025 20:25,8.48,4.82,70.67,17.14,25.85,0
30-09-2025 20:30,8.13,4.87,70.41,17.08,25.61,0
30-09-2025 20:35,9.16,4.9,69.87,17.25,25.87,0
30-09-2025 20:40,8.25,4.84,71.37,17.44,26.13,0
30-09-2025 20:45,8.56,4.9,71.22,17.52,27.02,0
30-09-2025 20:50,8.93,4.86,70.69,17.29,26.44,0
30-09-2025 20:55,8.3,4.91,71.09,17.46,26.22,0
30-09-2025 21:00,8.38,4.98,70.74,16.87,25.43,0
30-09-2025 21:05,9.11,4.72,71.04,17.37,26.31,0
30-09-2025 21:10,9.2,4.79,71.44,17.7,26.89,0
30-09-2025 21:15,8.89,4.78,71.13,17.33,26.34,0
30-09-2025 21:20,8.47,4.85,71.3,17.35,26.4,0
30-09-2025 21:25,8.84,4.81,70.21,17.41,26.63,0
30-09-2025 21:30,8.57,4.79,71.24,17.33,27.07,0
30-09-2025 21:35,9.04,4.99,72.03,17.2,27.34,0
30-09-2025 21:40,8.62,5.02,72.31,17.84,27.7,0
30-09-2025 21:45,8.81,4.92,71.15,17.56,26.91,0
30-09-2025 21:50,8.96,4.96,70.88,17.57,27.09,0
30-09-2025 21:55,8.4,4.88,69.35,17.58,26.67,0
30-09-2025 22:00,8.16,5.03,69.8,17.64,26.81,0
30-09-2025 22:05,8.68,4.91,70.94,17.71,27.43,0
30-09-2025 22:10,9.16,5.13,73.17,17.95,28.37,0
30-09-2025 22:15,9.39,4.93,71.74,17.83,27.99,0
30-09-2025 22:20,8.83,5,73.46,17.79,28.44,0
30-09-2025 22:25,9.31,4.98,73.23,17.74,28.32,0
30-09-2025 22:30,8.88,5.08,72.75,18.07,28.42,0
30-09-2025 22:35,9.17,4.87,72.03,18.06,27.99,0
30-09-2025 22:40,9.55,5,72.63,18.21,28.87,0
30-09-2025 22:45,9.39,5.07,73.76,18.06,28.71,0
30-09-2025 22:50,8.93,5.05,74.61,18.53,29.69,0
30-09-2025 22:55,9.16,5.01,72.34,17.83,28.49,0
30-09-2025 23:00,9.65,4.99,74.96,18.8,29.79,0
30-09-2025 23:05,8.81,4.88,71.96,18.26,28.58,0
30-09-2025 23:10,9.03,5.03,74.15,18.43,29.33,0
30-09-2025 23:15,9.41,5.09,74.11,18.42,30.41,0
30-09-2025 23:20,9.34,5.04,73.19,18.13,29.48,0
30-09-2025 23:25,9.85,5.07,74.95,18.6,30.14,0
30-09-2025 23:30,9.72,4.97,74.81,19.02,30.66,0
30-09-2025 23:35,9.84,4.96,74.58,18.65,29.72,0
30-09-2025 23:40,9.24,5.14,74.32,18.76,29.68,0
30-09-2025 23:45,9.39,4.96,75.26,18.97,30.88,0
30-09-2025 23:50,9.58,5.05,75.23,18.75,30.68,0
30-09-2025 23:55,9.05,5.14,74.09,18.68,30.33,0
01-10-2025 00:00,9.12,5.09,74.55,18.83,30.25,0
01-10-2025 00:05,10.04,5.15,75.04,18.94,31.26,0
01-10-2025 00:10,10.24,5.29,76.55,19.45,32.18,0
